date,format,opponent,venue,score,score_num,balls,fours,sixes,strike_rate,dismissal,tour
2018-10-27,ODI,West Indies,Pune,107,107,119,10,1,89.9,bowled,v West Indies in India 2018
2012-07-21,ODI,Sri Lanka,Hambantota,106,106,113,9,,93.8,caught,
2016-01-20,ODI,Australia,Canberra,106,106,92,11,1,115.2,caught,India in Australia 2016 — v Australia
2010-11-28,ODI,New Zealand,Guwahati,105,105,104,10,,101.0,caught,
2014-02-14,Test,New Zealand,Wellington,105*,105,135,15,1,77.8,not out,India in New Zealand 2014 — v New Zealand
2026-05-13,IPL,Kolkata Knight Riders,"Shaheed Veer Narayan Singh International Stadium, Raipur",105,105,64,11,3,164.1,-,
2017-11-16,Test,Sri Lanka,Eden Gardens,104*,104,119,12,2,87.4,not out,v Sri Lanka in India 2017
2019-01-15,ODI,Australia,Adelaide,104,104,112,5,2,92.9,caught,India in Australia 2018/19 — v Australia
2012-08-31,Test,New Zealand,Bengaluru,103,103,193,14,1,53.4,lbw,
2012-12-13,Test,England,Nagpur,103,103,295,11,,34.9,lbw,
2015-08-12,Test,Sri Lanka,Galle,103,103,191,11,,53.9,lbw,India in Sri Lanka 2015 — v Sri Lanka
2017-07-26,Test,Sri Lanka,Galle,103*,103,136,5,1,75.7,not out,India in Sri Lanka 2017 — v Sri Lanka
2018-08-18,Test,England,Nottingham,103,103,197,10,,52.3,lbw,India in England 2018 — v England
2023-10-19,ODI,Bangladesh,Pune,103*,103,97,6,4,106.2,not out,v Bangladesh in India 2023
2010-01-11,ODI,Bangladesh,Mirpur,102*,102,95,11,,107.4,not out,
2013-07-05,ODI,West Indies,Port of Spain,102,102,83,13,2,122.9,caught,
2025-12-03,ODI,South Africa,Raipur,102,102,93,7,2,109.7,caught,v South Africa in India 2025
2023-05-21,IPL,Gujarat Titans,"M Chinnaswamy Stadium, Bengaluru",101,101,63,13,1,160.3,-,
2023-11-05,ODI,South Africa,Eden Gardens,101*,101,121,10,,83.5,not out,v South Africa in India 2023
2011-02-19,ODI,Bangladesh,Mirpur,100*,100,83,8,2,120.5,not out,
2013-10-16,ODI,Australia,Jaipur,100*,100,52,8,7,192.3,not out,
2016-04-24,IPL,Gujarat Lions,Saurashtra Cricket Association Stadium,100,100,64,11,1,156.2,-,
2019-04-19,IPL,Kolkata Knight Riders,Eden Gardens,100,100,58,9,4,172.4,caught (Shubman Gill),
2023-05-18,IPL,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",100,100,65,12,4,153.8,caught (GD Phillips),
2024-11-22,Test,Australia,Perth,100*,100,143,8,2,69.9,not out,India in Australia 2025 — v Australia
2025-02-23,ODI,Pakistan,Dubai (DICS),100*,100,111,7,,90.1,not out,Tournament in UAE 2025
