tour_id,tour,opponent,host_country,season,start_date,end_date,matches,formats,innings,runs,hs,avg,strike_rate,fours,sixes,away
Tournament in England 2017|Pakistan,Tournament in England 2017,Pakistan,England,2017,2017-06-04,2017-06-18,2,ODI,2,86,81*,86,111.69,6,3,yes
Tournament in England 2017|Sri Lanka,Tournament in England 2017,Sri Lanka,England,2017,2017-06-08,2017-06-08,1,ODI,1,0,0,0,0,0,0,yes
Tournament in England 2017|South Africa,Tournament in England 2017,South Africa,England,2017,2017-06-11,2017-06-11,1,ODI,1,76,76*,-,75.25,7,1,yes
Tournament in England 2017|Bangladesh,Tournament in England 2017,Bangladesh,England,2017,2017-06-15,2017-06-15,1,ODI,1,96,96*,-,123.08,13,0,yes
India in West Indies 2017 — v West Indies|West Indies,India in West Indies 2017 — v West Indies,West Indies,West Indies,2017,2017-06-23,2017-07-09,6,ODI+T20I,6,283,111*,70.75,99.65,26,7,yes
India in Sri Lanka 2017 — v Sri Lanka|Sri Lanka,India in Sri Lanka 2017 — v Sri Lanka,Sri Lanka,Sri Lanka,2017,2017-07-26,2017-09-06,9,Test+ODI+T20I,10,573,131,81.86,94.55,54,5,yes
v New Zealand in India 2017|New Zealand,v New Zealand in India 2017,New Zealand,India,2017,2017-10-22,2017-11-07,6,ODI+T20I,6,367,121,73.4,115.05,30,9,no
v Sri Lanka in India 2017|Sri Lanka,v Sri Lanka in India 2017,Sri Lanka,India,2017,2017-11-16,2017-12-02,3,Test,5,610,243,152.5,82.21,57,4,no
India in South Africa 2018 — v South Africa|South Africa,India in South Africa 2018 — v South Africa,South Africa,South Africa,2018,2018-01-05,2018-02-21,11,Test+ODI+T20I,14,871,160*,79.18,82.09,91,7,yes
India in Ireland 2018 — v Ireland|Ireland,India in Ireland 2018 — v Ireland,Ireland,Ireland,2018,2018-06-27,2018-06-29,2,T20I,2,9,9,4.5,90,1,0,yes
India in England 2018 — v England|England,India in England 2018 — v England,England,England,2018,2018-07-03,2018-09-07,11,Test+ODI+T20I,16,894,149,59.6,67.52,87,6,yes
v West Indies in India 2018|West Indies,v West Indies in India 2018,West Indies,India,2018,2018-10-04,2018-11-01,7,Test+ODI,7,637,157*,127.4,89.84,67,7,no
India in Australia 2018/19 — v Australia|Australia,India in Australia 2018/19 — v Australia,Australia,Australia,2019,2018-11-21,2019-01-18,9,Test+ODI+T20I,12,500,123,45.45,54.64,43,5,yes
